matricula,nome,equipe,data_admissao,data_desligamento
VND-000001,Vendedor Sintético 01,Curitiba,2019-01-01,
VND-000002,Vendedor Sintético 02,São Paulo,2020-01-01,
VND-000003,Vendedor Sintético 03,Televendas,2021-01-01,
VND-000004,Vendedor Sintético 04,Curitiba,2022-01-01,
VND-000005,Vendedor Sintético 05,São Paulo,2023-01-01,
VND-000006,Vendedor Sintético 06,Televendas,2018-01-01,
VND-000007,Vendedor Sintético 07,Curitiba,2019-01-01,
VND-000008,Vendedor Sintético 08,São Paulo,2020-01-01,
VND-000009,Vendedor Sintético 09,Televendas,2021-01-01,
VND-000010,Vendedor Sintético 10,Curitiba,2022-01-01,
VND-000011,Vendedor Sintético 11,São Paulo,2023-01-01,
VND-000012,Vendedor Sintético 12,Televendas,2018-01-01,
VND-000013,Vendedor Sintético 13,Curitiba,2019-01-01,
VND-000014,Vendedor Sintético 14,São Paulo,2020-01-01,
VND-000015,Vendedor Sintético 15,Televendas,2021-01-01,
VND-000016,Vendedor Sintético 16,Curitiba,2022-01-01,
VND-000017,Vendedor Sintético 17,São Paulo,2023-01-01,
VND-000018,Vendedor Sintético 18,Televendas,2018-01-01,
VND-000019,Vendedor Sintético 19,Curitiba,2019-01-01,
VND-000020,Vendedor Sintético 20,São Paulo,2020-01-01,
VND-000021,Vendedor Sintético 21,Televendas,2021-01-01,
VND-000022,Vendedor Sintético 22,Curitiba,2022-01-01,
VND-000023,Vendedor Sintético 23,São Paulo,2023-01-01,
VND-000024,Vendedor Sintético 24,Televendas,2018-01-01,
